Latitude(DD),Longitude(DD),TotMagField,CorrectedMag
37.0291,-111.9977,52685.8,-6.4
37.0291,-111.9982,52682.8,-9.3
37.029,-111.9988,52680.1,-11.9
37.029,-111.9988,52682.6,-9.8
37.029,-111.9993,52683.6,-9.1
37.029,-111.9999,52678.8,-13.9
37.029,-112.0005,52676.8,-16.2
37.0289,-112.0011,52678.8,-14.4
37.0289,-112.0016,52676.8,-16.2
37.0289,-112.0022,52677.1,-15.9
37.0288,-112.0028,52674.6,-18.2
37.0288,-112.0033,52676.3,-16.4
37.0288,-112.0039,52675.6,-16.8
37.0288,-112.0045,52674.3,-18.2
37.0287,-112.0051,52672.1,-20.4
37.0287,-112.0056,52671.6,-20.7
37.0287,-112.0062,52671.1,-21.0
37.0287,-112.0068,52671.6,-19.9
37.0286,-112.0074,52669.3,-21.7
37.0286,-112.0079,52671.3,-19.2
37.0286,-112.0085,52669.8,-20.6
37.0285,-112.0091,52668.3,-22.1
37.0285,-112.0097,52670.1,-20.1
37.0285,-112.0102,52667.1,-23.1
37.0285,-112.0108,52666.1,-24.0
37.0284,-112.0114,52665.3,-24.9
37.0284,-112.012,52666.6,-23.4
37.0284,-112.0125,52670.3,-19.7
37.0283,-112.0131,52666.1,-23.6
37.0283,-112.0137,52669.1,-20.2
37.0283,-112.0143,52668.1,-20.5
37.0283,-112.0148,52666.3,-21.7
37.0282,-112.0154,52669.3,-18.3
37.0282,-112.016,52667.6,-20.0
37.0282,-112.0166,52668.1,-19.5
37.0281,-112.0171,52666.6,-20.7
37.0281,-112.0177,52669.8,-16.7
37.0281,-112.0183,52667.1,-19.6
37.0281,-112.0188,52671.3,-15.4
37.028,-112.0194,52669.6,-16.9
37.028,-112.02,52669.1,-17.1
37.028,-112.0206,52673.1,-12.7
37.0279,-112.0211,52669.8,-15.5
37.0279,-112.0217,52671.1,-14.0
37.0279,-112.0223,52671.8,-13.7
37.0279,-112.0229,52670.1,-15.4
37.0278,-112.0234,52670.1,-15.5
37.0278,-112.024,52668.1,-17.0
37.0278,-112.0246,52668.6,-16.4
37.0278,-112.0252,52674.6,-10.3
37.0277,-112.0257,52671.6,-13.2
37.0277,-112.0263,52674.8,-10.0
