X,Y,Measurement
-9999.9,ZNA,-6.4
-9999.9,ZNA,-9.3
-9999.9,ZNA,-11.9
-9999.9,ZNA,-9.8
-9999.9,JNA,-9.1
-9999.9,JNA,-13.9
-9999.9,JNA,-16.2
-9999.9,JNA,-14.4
-9999.9,JNA,-16.2
-9999.9,JNA,-15.9
-9999.9,JNA,-18.2
-9999.9,JNA,-16.4
-9999.9,JNA,-16.8
-9999.9,JNA,-18.2
-9999.9,JNA,-20.4
-9999.9,JNA,-20.7
-9999.9,JNA,-21.0
-9999.9,JNA,-19.9
-9999.9,JNA,-21.7
-9999.9,JNA,-19.2
-9999.9,JNA,-20.6
-9999.9,JNA,-22.1
-9999.9,JNA,-20.1
-9999.9,JNA,-23.1
-9999.9,JNA,-24.0
-9999.9,JNA,-24.9
-9999.9,JNA,-23.4
-9999.9,JNA,-19.7
-9999.9,JNA,-23.6
-9999.9,JNA,-20.2
-9999.9,JNA,-20.5
-9999.9,JNA,-21.7
-9999.9,JNA,-18.3
-9999.9,JNA,-20.0
-9999.9,JNA,-19.5
-9999.9,JTRK,-20.7
-9999.9,JTRK,-16.7
-9999.9,JTRK,-19.6
-9999.9,JTRK,-15.4
-9999.9,TRU,-16.9
-9999.9,TRU,-17.1
-9999.9,TRU,-12.7
-9999.9,QA,-15.5
-9999.9,QA,-14.0
-9999.9,QA,-13.7
-9999.9,QA,-15.4
-9999.9,QA,-15.5
-9999.9,QA,-17.0
-9999.9,QA,-16.4
-9999.9,TRM,-10.3
-9999.9,TRM,-13.2
-9999.9,TRM,-10.0
-9999.9,TRM,-10.2
-9999.9,TRM,-13.1
-9999.9,TRM,-11.6
-9999.9,TRM,-8.5
-9999.9,TRM,-8.3
-9999.9,TRM,-13.0
-9999.9,TRM,-9.8
-9999.9,IPKA,-7.0
-9999.9,IPKA,-5.9
-9999.9,IPKA,-6.9
-9999.9,IPKA,-5.1
-9999.9,IPKA,-8.6
-9999.9,IPKA,-6.9
-9999.9,IPKA,-5.8
-9999.9,IPKA,-4.2
-9999.9,IPKA,-3.2
-9999.9,IPKA,-4.1
-9999.9,IPKA,-3.6
-9999.9,IPKA,-2.6
-9999.9,IPKA,-1.5
-9999.9,IPKA,-2.7
-9999.9,IPKA,-3.5
-9999.9,IPKA,-3.7
-9999.9,IPKA,-0.5
-9999.9,IPKA,4.8
-9999.9,IPKA,-0.3
-9999.9,IPKA,-1.8
-9999.9,IPKA,-0.1
-9999.9,IPKA,2.7
-9999.9,IPKA,2.8
-9999.9,IPKA,5.5
-9999.9,IPKA,2.0
-9999.9,IPKA,3.5
-9999.9,IPKA,3.6
-9999.9,IPKA,4.3
-9999.9,IPKA,6.2
-9999.9,IPKA,8.4
-9999.9,IPKA,8.2
-9999.9,IPKA,10.6
-9999.9,IPKA,8.6
-9999.9,IPKA,9.3
-9999.9,IPKA,12.4
-9999.9,IPKA,10.8
-9999.9,IPKA,12.8
-9999.9,IPKA,12.4
-9999.9,IPKA,10.3
-9999.9,IPKA,12.9
-9999.9,IPKA,13.9
-9999.9,IPKA,12.8
-9999.9,IPKA,12.2
-9999.9,IPKA,12.1
-9999.9,IPKA,12.6
-9999.9,IPKA,15.4
-9999.9,IPKA,14.5
-9999.9,IPKA,19.0
-9999.9,IPKA,18.5
-9999.9,IPKA,13.8
-9999.9,IPKA,15.0
-9999.9,IPKA,18.2
-9999.9,IPKA,15.0
-9999.9,IPKA,19.3
-9999.9,IPKA,18.3
-9999.9,IPKA,17.6
-9999.9,IPKA,16.8
-9999.9,IPKA,14.5
-9999.9,IPKA,18.0
-9999.9,IPKA,17.8
-9999.9,IPKA,20.2
-9999.9,IPKA,16.6
-9999.9,IPKA,18.8
-9999.9,IPKA,20.1
-9999.9,IPKA,20.6
-9999.9,IPKA,19.2
-9999.9,IPKA,18.6
-9999.9,IPKA,20.2
-9999.9,IPKA,23.2
-9999.9,IPKA,20.5
-9999.9,IPKA,24.4
-9999.9,IPKA,22.6
-9999.9,IPKA,21.6
-9999.9,IPKA,19.9
-9999.9,IPKA,24.3
-9999.9,IPKA,22.9
-9999.9,IPKA,25.9
-9999.9,IPKA,22.9
-9999.9,IPKA,22.6
-9999.9,IPKA,20.1
-9999.9,IPKA,20.3
-9999.9,IPKA,20.5
-9999.9,IPKA,17.6
-9999.9,IPKA,22.2
-9999.9,IPKA,22.1
-9999.9,IPKA,20.4
-9999.9,IPKA,21.7
-9999.9,IPKA,25.3
-9999.9,IPKA,24.8
-9999.9,IPKA,26.0
-9999.9,IPKA,23.2
-9999.9,IPKA,22.2
-9999.9,IPKA,19.0
-9999.9,IPKA,24.4
-9999.9,IPKA,25.4
-9999.9,IPKA,22.2
-9999.9,IPKA,19.7
-9999.9,IPKA,22.0
-9999.9,IPKA,21.7
-9999.9,IPKA,28.1
-9999.9,IPKA,25.6
-9999.9,IPKA,24.7
-9999.9,IPKA,23.2
-9999.9,IPKA,26.9
-9999.9,IPKA,22.4
-9999.9,IPKA,25.7
-9999.9,IPKA,24.9
-9999.9,IPKA,23.4
-9999.9,IPKA,25.9
-9999.9,IPKA,26.3
-9999.9,IPKA,24.0
-9999.9,IPKA,23.7
-9999.9,IPKA,24.5
-9999.9,IPKA,23.3
-9999.9,IPKA,23.6
-9999.9,IPKA,24.1
-9999.9,IPKA,26.1
-9999.9,IPKA,22.8
-9999.9,IPKA,26.8
-9999.9,IPKA,25.4
-9999.9,IPKA,28.4
-9999.9,IPKA,28.7
-9999.9,IPKA,27.4
-9999.9,IPKA,27.3
-9999.9,IPKA,25.8
-9999.9,IPKA,24.2
-9999.9,IPKA,26.7
-9999.9,IPKA,23.5
-9999.9,IPKA,26.4
-9999.9,IPKA,27.0
-9999.9,IPKA,24.8
-9999.9,IPKA,26.5
-9999.9,IPKA,26.0
-9999.9,IPKA,24.6
-9999.9,IPKA,25.9
-9999.9,IPKA,25.2
-9999.9,IPKA,26.7
-9999.9,IPKA,25.8
-9999.9,IPKA,26.2
-9999.9,IPKA,28.0
-9999.9,IPKA,25.8
-9999.9,IPKA,24.8
-9999.9,IPKA,25.6
-9999.9,IPKA,24.8
-9999.9,IPKA,24.5
-9999.9,IPKA,27.0
-9999.9,IPKA,23.0
-9999.9,IPKA,25.5
