Latitude,Longitude,Total_Magnetic_Field,Corrected_Total_Magnetic_Field
37.0291,-111.9977,249.6,ZNA
37.0291,-111.9982,255.7,ZNA
37.029,-111.9988,248.7,ZNA
37.029,-111.9988,233.2,ZNA
37.029,-111.9993,219.8,JNA
37.029,-111.9999,210.9,JNA
37.029,-112.0005,192.0,JNA
37.0289,-112.0011,183.8,JNA
37.0289,-112.0016,182.6,JNA
37.0289,-112.0022,180.1,JNA
37.0288,-112.0028,178.9,JNA
37.0288,-112.0033,181.4,JNA
37.0288,-112.0039,183.2,JNA
37.0288,-112.0045,178.9,JNA
37.0287,-112.0051,168.2,JNA
37.0287,-112.0056,168.2,JNA
37.0287,-112.0062,173.1,JNA
37.0287,-112.0068,189.6,JNA
37.0286,-112.0074,205.4,JNA
37.0286,-112.0079,216.7,JNA
37.0286,-112.0085,216.7,JNA
37.0285,-112.0091,207.3,JNA
37.0285,-112.0097,206.0,JNA
37.0285,-112.0102,207.3,JNA
37.0285,-112.0108,203.6,JNA
37.0284,-112.0114,195.4,JNA
37.0284,-112.012,194.2,JNA
37.0284,-112.0125,184.7,JNA
37.0283,-112.0131,194.8,JNA
37.0283,-112.0137,201.5,JNA
37.0283,-112.0143,224.9,JNA
37.0283,-112.0148,239.3,JNA
37.0282,-112.0154,250.9,JNA
37.0282,-112.016,242.0,JNA
37.0282,-112.0166,233.2,JNA
37.0281,-112.0171,242.6,JTRK
37.0281,-112.0177,266.4,JTRK
37.0281,-112.0183,256.9,JTRK
37.0281,-112.0188,249.6,JTRK
37.028,-112.0194,252.1,TRU
37.028,-112.02,254.5,TRU
37.028,-112.0206,261.5,TRU
37.0279,-112.0211,278.0,QA
37.0279,-112.0217,276.5,QA
37.0279,-112.0223,262.1,QA
37.0279,-112.0229,250.9,QA
37.0278,-112.0234,246.3,QA
37.0278,-112.024,255.7,QA
37.0278,-112.0246,250.9,QA
37.0278,-112.0252,254.5,TRM
37.0277,-112.0257,246.3,TRM
37.0277,-112.0263,246.3,TRM
37.0277,-112.0269,247.5,TRM
37.0276,-112.0275,242.0,TRM
37.0276,-112.028,228.6,TRM
37.0276,-112.0286,216.7,TRM
37.0276,-112.0292,192.6,TRM
37.0275,-112.0297,174.3,TRM
37.0275,-112.0303,145.4,TRM
37.0275,-112.0309,139.6,IPKA
37.0274,-112.0315,129.2,IPKA
37.0274,-112.032,129.2,IPKA
37.0274,-112.0326,135.3,IPKA
37.0274,-112.0332,132.6,IPKA
37.0273,-112.0338,129.5,IPKA
37.0273,-112.0343,132.3,IPKA
37.0273,-112.0349,164.9,IPKA
37.0273,-112.0355,172.5,IPKA
37.0272,-112.0361,137.2,IPKA
37.0272,-112.0366,118.9,IPKA
37.0272,-112.0372,108.5,IPKA
37.0271,-112.0378,104.2,IPKA
37.0271,-112.0384,101.8,IPKA
37.0271,-112.0389,99.7,IPKA
37.0271,-112.0395,95.7,IPKA
37.027,-112.0401,99.4,IPKA
37.027,-112.0407,109.4,IPKA
37.027,-112.0412,107.3,IPKA
37.0269,-112.0418,96.9,IPKA
37.0269,-112.0424,103.3,IPKA
37.0269,-112.0429,114.0,IPKA
37.0269,-112.0435,118.0,IPKA
37.0268,-112.0441,115.8,IPKA
37.0268,-112.0447,105.8,IPKA
37.0268,-112.0452,103.9,IPKA
37.0267,-112.0458,117.7,IPKA
37.0267,-112.0464,131.4,IPKA
37.0267,-112.047,138.7,IPKA
37.0267,-112.0475,138.1,IPKA
37.0266,-112.0481,146.3,IPKA
37.0266,-112.0487,169.5,IPKA
37.0266,-112.0493,144.5,IPKA
37.0266,-112.0498,160.6,IPKA
37.0265,-112.0504,180.7,IPKA
37.0265,-112.051,207.3,IPKA
37.0265,-112.0516,214.9,IPKA
37.0264,-112.0521,199.0,IPKA
37.0264,-112.0527,176.5,IPKA
37.0264,-112.0533,177.7,IPKA
37.0264,-112.0539,168.2,IPKA
37.0263,-112.0544,173.1,IPKA
37.0263,-112.055,177.1,IPKA
37.0263,-112.0556,186.5,IPKA
37.0262,-112.0562,178.3,IPKA
37.0262,-112.0567,143.0,IPKA
37.0262,-112.0573,133.5,IPKA
37.0262,-112.0579,131.4,IPKA
37.0261,-112.0584,128.0,IPKA
37.0261,-112.059,125.0,IPKA
37.0261,-112.0596,112.2,IPKA
37.0261,-112.0602,99.1,IPKA
37.026,-112.0607,89.0,IPKA
37.026,-112.0613,85.6,IPKA
37.026,-112.0619,82.0,IPKA
37.0259,-112.0625,82.6,IPKA
37.0259,-112.063,82.9,IPKA
37.0259,-112.0636,83.2,IPKA
37.0259,-112.0642,82.0,IPKA
37.0258,-112.0648,82.3,IPKA
37.0258,-112.0653,83.2,IPKA
37.0258,-112.0659,86.0,IPKA
37.0257,-112.0665,88.1,IPKA
37.0257,-112.0671,91.4,IPKA
37.0257,-112.0676,89.9,IPKA
37.0257,-112.0682,93.3,IPKA
37.0256,-112.0688,98.5,IPKA
37.0256,-112.0694,113.4,IPKA
37.0256,-112.0699,131.4,IPKA
37.0256,-112.0705,135.6,IPKA
37.0255,-112.0711,126.2,IPKA
37.0255,-112.0717,118.0,IPKA
37.0255,-112.0722,124.4,IPKA
37.0254,-112.0728,118.9,IPKA
37.0254,-112.0734,122.8,IPKA
37.0254,-112.0739,128.0,IPKA
37.0254,-112.0745,110.6,IPKA
37.0253,-112.0751,99.1,IPKA
37.0253,-112.0757,97.2,IPKA
37.0253,-112.0762,98.8,IPKA
37.0252,-112.0768,100.9,IPKA
37.0252,-112.0774,102.7,IPKA
37.0252,-112.078,99.1,IPKA
37.0252,-112.0785,94.2,IPKA
37.0251,-112.0791,94.2,IPKA
37.0251,-112.0797,96.0,IPKA
37.0251,-112.0803,99.4,IPKA
37.025,-112.0808,100.3,IPKA
37.025,-112.0814,100.6,IPKA
37.025,-112.082,101.5,IPKA
37.025,-112.0826,101.5,IPKA
37.0249,-112.0831,98.8,IPKA
37.0249,-112.0837,93.6,IPKA
37.0249,-112.0843,95.1,IPKA
37.0248,-112.0849,95.7,IPKA
37.0248,-112.0854,97.8,IPKA
37.0248,-112.086,101.2,IPKA
37.0248,-112.0866,99.7,IPKA
37.0247,-112.0872,96.3,IPKA
37.0247,-112.0877,96.9,IPKA
37.0247,-112.0883,96.3,IPKA
37.0247,-112.0889,91.1,IPKA
37.0246,-112.0894,89.0,IPKA
37.0246,-112.09,89.3,IPKA
37.0246,-112.0906,88.1,IPKA
37.0245,-112.0912,88.7,IPKA
37.0245,-112.0917,88.7,IPKA
37.0245,-112.0923,89.9,IPKA
37.0245,-112.0929,90.8,IPKA
37.0244,-112.0935,94.8,IPKA
37.0244,-112.094,93.0,IPKA
37.0244,-112.0946,91.7,IPKA
37.0243,-112.0952,89.9,IPKA
37.0243,-112.0958,88.1,IPKA
