lat,long,corrected_magnetic
37.0278,-112.0234,-15.5
37.0278,-112.024,-17.0
37.0278,-112.0246,-16.4
37.0278,-112.0252,-10.3
37.0277,-112.0257,-13.2
37.0277,-112.0263,-10.0
37.0277,-112.0269,-10.2
37.0276,-112.0275,-13.1
37.0276,-112.028,-11.6
37.0276,-112.0286,-8.5
37.0276,-112.0292,-8.3
37.0275,-112.0297,-13.0
37.0275,-112.0303,-9.8
37.0275,-112.0309,-7.0
37.0274,-112.0315,-5.9
37.0274,-112.032,-6.9
37.0274,-112.0326,-5.1
37.0274,-112.0332,-8.6
37.0273,-112.0338,-6.9
37.0273,-112.0343,-5.8
37.0273,-112.0349,-4.2
37.0273,-112.0355,-3.2
37.0272,-112.0361,-4.1
37.0272,-112.0366,-3.6
37.0272,-112.0372,-2.6
37.0271,-112.0378,-1.5
37.0271,-112.0384,-2.7
37.0271,-112.0389,-3.5
37.0271,-112.0395,-3.7
37.027,-112.0401,-0.5
37.027,-112.0407,4.8
37.027,-112.0412,-0.3
37.0269,-112.0418,-1.8
37.0269,-112.0424,-0.1
37.0269,-112.0429,2.7
37.0269,-112.0435,2.8
37.0268,-112.0441,5.5
37.0268,-112.0447,2.0
37.0268,-112.0452,3.5
37.0267,-112.0458,3.6
37.0267,-112.0464,4.3
37.0267,-112.047,6.2
37.0267,-112.0475,8.4
37.0266,-112.0481,8.2
37.0266,-112.0487,10.6
37.0266,-112.0493,8.6
37.0266,-112.0498,9.3
37.0265,-112.0504,12.4
37.0265,-112.051,10.8
37.0265,-112.0516,12.8
37.0264,-112.0521,12.4
37.0264,-112.0527,10.3
37.0264,-112.0533,12.9
37.0264,-112.0539,13.9
37.0263,-112.0544,12.8
37.0263,-112.055,12.2
37.0263,-112.0556,12.1
37.0262,-112.0562,12.6
37.0262,-112.0567,15.4
37.0262,-112.0573,14.5
37.0262,-112.0579,19.0
37.0261,-112.0584,18.5
37.0261,-112.059,13.8
37.0261,-112.0596,15.0
37.0261,-112.0602,18.2
37.026,-112.0607,15.0
37.026,-112.0613,19.3
37.026,-112.0619,18.3
37.0259,-112.0625,17.6
37.0259,-112.063,16.8
37.0259,-112.0636,14.5
37.0259,-112.0642,18.0
37.0258,-112.0648,17.8
37.0258,-112.0653,20.2
37.0258,-112.0659,16.6
37.0257,-112.0665,18.8
37.0257,-112.0671,20.1
37.0257,-112.0676,20.6
37.0257,-112.0682,19.2
37.0256,-112.0688,18.6
37.0256,-112.0694,20.2
37.0256,-112.0699,23.2
37.0256,-112.0705,20.5
37.0255,-112.0711,24.4
37.0255,-112.0717,22.6
37.0255,-112.0722,21.6
37.0254,-112.0728,19.9
37.0254,-112.0734,24.3
37.0254,-112.0739,22.9
37.0254,-112.0745,25.9
37.0253,-112.0751,22.9
37.0253,-112.0757,22.6
37.0253,-112.0762,20.1
37.0252,-112.0768,20.3
37.0252,-112.0774,20.5
37.0252,-112.078,17.6
37.0252,-112.0785,22.2
37.0251,-112.0791,22.1
37.0251,-112.0797,20.4
37.0251,-112.0803,21.7
37.0251,-112.5033,51.6
37.0252,-112.5038,55.0
37.0253,-112.5044,52.2
37.0253,-112.505,58.7
37.0254,-112.5056,57.1
37.0255,-112.5062,55.8
37.0256,-112.5068,61.7
37.0256,-112.5074,59.7
37.0257,-112.508,48.4
37.0258,-112.5086,62.3
37.0258,-112.5092,62.0
37.0259,-112.5097,68.3
37.026,-112.5103,65.6
37.0261,-112.5109,67.1
37.0261,-112.5115,64.7
37.0262,-112.5121,68.4
37.0263,-112.5127,69.9
37.0264,-112.5133,73.3
37.0264,-112.5139,67.7
37.0265,-112.5145,74.4
37.0266,-112.5151,74.7
37.0267,-112.5157,71.3
37.0267,-112.5162,78.0
37.0268,-112.5168,75.1
37.0269,-112.5174,77.9
37.0269,-112.518,79.2
37.027,-112.5185,83.3
37.027,-112.5191,80.3
37.0269,-112.5195,77.6
37.0269,-112.52,79.1
37.0268,-112.5204,88.1
37.0268,-112.5209,82.3
37.0267,-112.5214,78.4
37.0267,-112.5218,86.6
37.0266,-112.5223,81.9
37.0266,-112.5227,79.2
37.0266,-112.5232,89.1
37.0265,-112.5236,92.3
37.0265,-112.5241,89.7
37.0264,-112.5245,94.6
37.0264,-112.525,96.1
37.0263,-112.5255,88.8
37.0263,-112.5259,97.4
37.0262,-112.5264,94.4
37.0262,-112.5268,98.5
37.0261,-112.5273,95.1
37.0261,-112.5277,98.4
37.026,-112.5282,98.8
37.026,-112.5286,98.4
37.0259,-112.5291,102.6
37.0259,-112.5296,102.4
37.0258,-112.53,97.3
37.0258,-112.5305,96.5
37.0257,-112.5309,104.9
37.0257,-112.5314,145.0
37.0256,-112.5318,158.2
37.0256,-112.5323,176.5
37.0255,-112.5327,199.0
37.0255,-112.5332,212.7
37.0254,-112.5337,227.6
37.0254,-112.5341,244.3
37.0253,-112.5346,263.2
37.0253,-112.535,285.3
37.0252,-112.5355,261.7
37.0252,-112.5359,242.6
37.0251,-112.5364,227.8
37.0251,-112.5368,212.2
37.0251,-113.2112,106.2
37.0251,-113.2117,109.8
37.0251,-113.2122,106.9
37.0251,-113.2127,107.1
37.0251,-113.2131,109.3
37.0251,-113.2136,104.2
37.0252,-113.2141,105.6
37.0252,-113.2146,111.7
37.0252,-113.215,110.8
37.0252,-113.2155,105.4
37.0252,-113.216,104.4
37.0253,-113.2165,103.5
37.0253,-113.2169,103.7
37.0253,-113.2174,101.7
37.0253,-113.2179,100.5
37.0253,-113.2183,104.5
37.0253,-113.2188,100.0
37.0253,-113.2193,102.8
37.0254,-113.2198,105.3
37.0254,-113.2202,109.1
37.0254,-113.2207,99.6
37.0254,-113.2212,101.8
37.0254,-113.2217,106.4
37.0255,-113.2221,99.0
37.0255,-113.2226,102.9
37.0255,-113.2231,100.2
37.0255,-113.2236,110.3
37.0255,-113.224,105.2
37.0255,-113.2245,101.1
37.0256,-113.225,105.7
37.0256,-113.2255,100.1
37.0256,-113.2259,104.5
37.0256,-113.2264,102.9
37.0256,-113.2269,98.7
37.0256,-113.2274,106.2
37.0257,-113.2278,106.3
37.0257,-113.2283,106.4
37.0257,-113.2288,105.2
37.0257,-113.2292,99.5
37.0257,-113.2297,102.0
37.0257,-113.2302,101.5
37.0258,-113.2307,99.6
37.0258,-113.2311,97.1
37.0258,-113.2316,105.7
37.0258,-113.2321,101.7
37.0258,-113.2326,101.0
37.0258,-113.233,100.3
37.0259,-113.2335,102.7
37.0259,-113.234,97.9
37.0259,-113.2345,101.6
37.0259,-113.2349,101.4
37.0259,-113.2354,101.7
37.0259,-113.2359,102.7
37.026,-113.2364,101.9
37.026,-113.2368,102.8
37.026,-113.2373,96.6
37.026,-113.2378,103.5
37.026,-113.2383,102.5
37.026,-113.2387,97.9
37.0261,-113.2392,101.7
37.0261,-113.2397,103.3
37.0261,-113.2401,100.6
37.0261,-113.2406,100.7
37.0261,-113.2411,102.2
37.0261,-113.2416,96.4
37.0262,-113.242,103.2
37.0262,-113.2425,97.2
37.0262,-113.243,101.6
37.0262,-113.2435,103.9
37.0262,-113.2439,90.9
37.0262,-113.2444,101.4
37.0263,-113.2449,95.9
37.0263,-113.2454,98.9
37.0263,-113.2458,107.0
37.0263,-113.2463,103.7
37.0263,-113.2468,102.9
37.0263,-113.2473,104.6
37.0264,-113.2477,101.1
37.0264,-113.2482,103.7
37.0264,-113.2487,96.7
37.0264,-113.2492,97.1
37.0264,-113.2496,100.8
37.0264,-113.2501,98.4
37.0265,-113.2506,98.0
37.0265,-113.251,103.2
37.0265,-113.2515,104.7
