lat,long,corrected_magnetic
38.0263,-112.1871,-284.3
38.0264,-112.1874,-291.4
38.0265,-112.1878,-288.9
38.0266,-112.1881,-282.2
38.0267,-112.1885,-275.8
38.0268,-112.1888,-257.4
38.0269,-112.1892,-241.9
38.0271,-112.1895,-222.1
38.0272,-112.1899,-199.8
38.0273,-112.1902,-176.5
38.0274,-112.1906,-151.3
38.0275,-112.1909,-126.0
38.0276,-112.1912,-97.4
38.0278,-112.1916,-67.2
38.0279,-112.1919,-38.8
38.028,-112.1923,-9.1
38.0281,-112.1926,13.8
38.0282,-112.193,30.3
38.0283,-112.1933,41.2
38.0285,-112.1937,40.3
38.0286,-112.194,21.9
38.0287,-112.1944,-11.7
38.0288,-112.1947,-54.0
38.0289,-112.1951,-94.0
38.029,-112.1954,-128.2
38.0291,-112.1958,-156.0
38.0293,-112.1961,-177.5
38.0294,-112.1964,-193.4
38.0295,-112.1968,-201.3
38.0296,-112.1971,-211.7
38.0297,-112.1975,-215.6
38.0298,-112.1978,-223.0
38.03,-112.1982,-230.3
38.0301,-112.1985,-242.8
38.0302,-112.1989,-259.6
38.0301,-112.1992,-282.7
38.0301,-112.1995,-304.6
38.0301,-112.1999,-329.4
38.03,-112.2002,-349.3
38.03,-112.2005,-366.9
38.03,-112.2009,-380.5
38.0299,-112.2012,-390.9
38.0299,-112.2015,-399.1
38.0299,-112.2018,-404.9
38.0298,-112.2022,-409.6
38.0298,-112.2025,-411.9
38.0298,-112.2028,-409.5
38.0297,-112.2032,-404.6
38.0297,-112.2035,-395.4
38.0296,-112.2038,-385.6
38.0296,-112.2041,-374.7
38.0296,-112.2045,-369.9
38.0295,-112.2048,-362.6
38.0295,-112.2051,-362.3
38.0295,-112.2055,-363.7
38.0294,-112.2058,-367.4
38.0294,-112.2061,-375.4
38.0294,-112.2065,-382.7
38.0293,-112.2068,-391.0
38.0293,-112.2071,-400.4
38.0292,-112.2074,-409.0
38.0292,-112.2078,-417.7
38.0292,-112.2081,-428.1
38.0291,-112.2084,-434.6
38.0291,-112.2088,-443.3
38.0291,-112.2091,-450.8
38.029,-112.2094,-459.1
38.029,-112.2098,-464.6
38.029,-112.2101,-474.0
38.0289,-112.2104,-479.0
38.0289,-112.2107,-486.9
38.0288,-112.2111,-491.1
38.0288,-112.2114,-499.4
38.0288,-112.2117,-499.2
38.0287,-112.2121,-502.5
38.0287,-112.2124,-503.6
38.0287,-112.2127,-505.3
38.0286,-112.213,-504.2
38.0286,-112.2134,-503.4
38.0286,-112.2137,-500.1
38.0285,-112.214,-495.7
38.0285,-112.2144,-490.6
38.0285,-112.2147,-486.0
38.0284,-112.215,-480.2
38.0284,-112.2154,-475.4
38.0283,-112.2157,-469.0
38.0283,-112.216,-465.1
38.0283,-112.2163,-457.5
38.0282,-112.2167,-451.4
38.0282,-112.217,-441.4
38.0282,-112.2173,-433.5
38.0281,-112.2177,-420.5
38.0281,-112.218,-412.5
38.0281,-112.2183,-399.2
38.028,-112.2187,-391.3
38.028,-112.219,-382.0
38.0279,-112.2193,-371.5
38.0279,-112.2196,-371.5
38.0279,-112.22,-372.2
38.0278,-112.2203,-374.9
38.0278,-112.2206,-383.3
38.0278,-112.221,-392.0
38.0277,-112.2213,-397.8
38.0277,-112.2216,-411.5
38.0277,-112.2219,-417.3
38.0276,-112.2223,-427.8
38.0276,-112.2226,-432.6
38.0276,-112.2229,-436.6
38.0275,-112.2233,-437.8
38.0275,-112.2236,-438.0
38.0274,-112.2239,-435.6
38.0274,-112.2243,-428.4
38.0274,-112.2246,-422.2
38.0273,-112.2249,-406.7
38.0273,-112.2252,-391.1
38.0273,-112.2256,-370.5
38.0272,-112.2259,-350.0
38.0272,-112.2262,-325.7
38.0272,-112.2266,-305.9
38.0271,-112.2269,-288.2
38.0271,-112.2272,-281.7
38.027,-112.2276,-277.4
38.027,-112.2279,-282.7
38.027,-112.2282,-286.9
38.0269,-112.2285,-293.0
38.0269,-112.2289,-300.4
38.0269,-112.2292,-304.4
38.0268,-112.2295,-307.2
38.0268,-112.2299,-306.9
38.0268,-112.2302,-310.5
38.0267,-112.2305,-309.5
38.0267,-112.2309,-311.3
38.0266,-112.2312,-309.9
38.0266,-112.2315,-311.2
38.0266,-112.2318,-313.2
38.0265,-112.2322,-314.2
38.0265,-112.2325,-315.4
38.0265,-112.2328,-316.2
38.0264,-112.2332,-317.9
38.0264,-112.2335,-315.0
38.0264,-112.2338,-315.5
38.0263,-112.2341,-310.3
38.0263,-112.2345,-305.3
38.0263,-112.2348,-301.8
38.0263,-112.308,-118.5
38.0263,-112.3084,-119.7
38.0263,-112.3088,-111.8
38.0263,-112.3092,-100.0
38.0263,-112.3096,-96.3
38.0263,-112.31,-100.1
38.0264,-112.3103,-110.2
38.0264,-112.3107,-122.3
38.0264,-112.3111,-140.3
38.0264,-112.3115,-155.3
38.0264,-112.3119,-165.7
38.0265,-112.3123,-172.2
38.0265,-112.3127,-170.3
38.0265,-112.3131,-161.2
38.0265,-112.3135,-150.6
38.0265,-112.3139,-141.9
38.0265,-112.3142,-130.8
38.0266,-112.3146,-123.9
38.0266,-112.315,-119.0
38.0266,-112.3154,-121.0
38.0266,-112.3158,-123.1
38.0266,-112.3162,-123.4
38.0266,-112.3166,-120.2
38.0267,-112.317,-105.3
38.0267,-112.3174,-74.1
38.0267,-112.3177,-19.4
38.0267,-112.3181,57.9
38.0267,-112.3185,158.3
38.0268,-112.3189,280.2
38.0268,-112.3193,411.5
38.0268,-112.3197,535.0
38.0268,-112.3201,639.2
38.0268,-112.3205,702.7
38.0268,-112.3209,731.7
38.0269,-112.3212,726.5
38.0269,-112.3216,696.1
38.0269,-112.322,650.7
38.0269,-112.3224,604.7
38.0269,-112.3228,568.0
38.0269,-112.3232,545.9
38.0269,-112.3236,532.0
38.0269,-112.3239,511.2
38.0269,-112.3243,476.1
38.0269,-112.3247,427.5
38.0269,-112.3251,375.8
38.0269,-112.3255,324.8
38.0269,-112.3258,275.5
38.0269,-112.3262,221.9
