Latitude,Longitude (Decimal Degrees),Total Magnetic Field (nT),Corrected Total Magnetic Field (nT)
40.978,-111.8733,158.1,-3.1
40.978,-111.8732,156.8,-2.3
40.9781,-111.873,157.0,-2.1
40.9781,-111.8729,158.0,-2.3
40.9781,-111.8727,158.0,-3.3
40.9781,-111.8726,157.3,-3.8
40.9781,-111.8724,156.6,-4.7
40.9781,-111.8722,155.5,-5.2
40.9781,-111.872,153.1,-5.3
40.9781,-111.8719,150.2,-5.3
40.9781,-111.8717,147.4,-5.1
40.9781,-111.8716,144.8,-5.6
40.9781,-111.8714,142.0,-6.9
40.9781,-111.8712,138.5,-7.2
40.9782,-111.8711,134.2,-8.1
40.9782,-111.8709,129.8,-8.2
40.9782,-111.8707,125.9,-8.5
40.9782,-111.8706,122.5,-8.1
40.9782,-111.8704,119.5,-7.8
40.9782,-111.8703,116.8,-7.9
40.9782,-111.8701,114.1,-8.0
40.9782,-111.8699,110.8,-7.5
40.9782,-111.8697,107.0,-7.1
40.9782,-111.8696,103.6,-6.7
40.9782,-111.8694,101.4,-5.9
40.9782,-111.8693,100.3,-4.9
40.9783,-111.8691,99.6,-4.6
40.9783,-111.869,98.7,-2.6
40.9783,-111.8688,97.9,-3.6
40.9783,-111.8686,97.3,-4.1
40.9783,-111.8684,97.0,-5.1
40.9783,-111.8683,96.6,-5.6
40.9783,-111.8681,96.0,-6.8
40.9783,-111.868,95.2,-8.8
40.9783,-111.8678,93.8,-9.8
40.9783,-111.8676,91.4,-9.6
40.9783,-111.8674,88.8,-8.5
40.9783,-111.8673,86.3,-8.1
40.9784,-111.8671,83.4,-7.2
40.9784,-111.867,80.9,-5.0
40.9784,-111.8668,79.1,-4.2
40.9784,-111.8667,77.6,-3.6
40.9784,-111.8665,75.5,-1.6
40.9784,-111.8663,72.7,-0.5
40.9784,-111.8661,69.8,0.6
40.9784,-111.866,67.3,1.9
40.9784,-111.8658,65.3,3.0
40.9784,-111.8657,63.6,3.5
40.9784,-111.8655,62.8,3.7
40.9785,-111.8653,62.6,4.3
40.9785,-111.8652,62.6,5.6
40.9785,-111.865,62.4,7.4
40.9785,-111.8648,62.1,8.7
40.9785,-111.8647,62.3,8.9
40.9785,-111.8645,62.9,9.3
40.9785,-111.8644,63.6,9.3
40.9785,-111.8642,64.3,9.9
40.9785,-111.864,65.1,9.7
40.9785,-111.8638,65.3,11.0
40.9785,-111.8637,64.8,12.0
40.9785,-111.8635,64.1,12.5
40.9786,-111.8634,64.5,11.6
40.9786,-111.8632,66.3,11.9
40.9786,-111.8631,69.6,12.8
40.9786,-111.8629,74.6,11.9
40.9786,-111.8627,81.4,10.9
40.9786,-111.8625,89.3,10.7
40.9786,-111.8624,97.4,11.0
40.9786,-111.8622,105.5,7.4
40.9786,-111.8621,113.6,4.7
40.9786,-111.8619,122.7,1.5
40.9786,-111.8617,132.9,-2.7
40.9786,-111.8615,141.9,-8.1
40.9787,-111.8614,145.4,-12.8
40.9787,-111.8612,141.9,-14.1
40.9787,-111.8611,134.5,-14.3
40.9787,-111.8609,127.1,-12.5
40.9787,-111.8608,121.2,-11.9
40.9787,-111.8606,116.8,-10.2
40.9787,-111.8604,114.9,-8.1
40.9787,-111.8602,115.3,-5.1
40.9787,-111.8601,116.8,-1.5
40.9787,-111.8599,118.0,1.2
40.9787,-111.8598,118.5,3.8
40.9788,-111.8596,117.8,5.7
40.9788,-111.8594,116.0,8.0
40.9788,-111.8593,113.5,11.3
40.9788,-111.8591,110.6,12.4
40.9788,-111.8589,107.8,13.7
40.9788,-111.8588,105.4,15.8
40.9788,-111.8586,103.0,17.1
40.9788,-111.8585,100.3,17.5
40.9788,-111.8583,97.6,18.3
40.9788,-111.8581,95.8,19.0
40.9788,-111.8579,95.2,18.8
40.9788,-111.8578,95.1,17.3
40.9789,-111.8576,95.9,13.3
40.9789,-111.8575,97.9,12.1
40.9789,-111.8573,100.6,11.3
40.9789,-111.8572,103.2,10.1
40.9789,-111.857,105.6,11.0
40.9789,-111.8568,107.2,11.1
40.9789,-111.8566,107.5,10.6
40.9789,-111.8565,106.6,9.9
40.9789,-111.8563,105.4,8.6
40.9789,-111.8562,104.2,6.9
40.9789,-111.856,103.5,4.9
40.9789,-111.8558,103.2,2.9
40.979,-111.8556,103.5,-0.1
40.979,-111.8555,103.6,-1.4
40.979,-111.8553,102.8,-2.2
40.979,-111.8552,101.0,-1.6
40.979,-111.855,98.6,0.2
40.979,-111.8549,95.5,3.1
40.979,-111.8547,92.2,6.6
40.979,-111.8545,89.2,6.7
40.979,-111.8543,88.2,4.5
40.979,-111.8542,90.8,-0.4
40.979,-111.854,96.5,-7.7
40.979,-111.8539,103.5,-13.5
40.9791,-111.8537,111.2,-18.0
40.9791,-111.8535,119.2,-20.4
40.9791,-111.8534,125.2,-19.5
40.9791,-111.8532,127.7,-19.1
40.9791,-111.853,128.7,-17.4
40.9791,-111.8529,130.1,-19.5
40.9791,-111.8527,130.1,-23.3
40.9791,-111.8526,127.3,-27.5
40.9791,-111.8524,124.2,-30.6
40.9791,-111.8522,123.9,-33.1
40.9791,-111.852,126.1,-35.7
40.9791,-111.8519,127.3,-38.6
40.9792,-111.8517,124.9,-40.5
40.9792,-111.8516,119.5,-42.2
40.9792,-111.8514,113.0,-43.5
40.9792,-111.8513,106.7,-43.3
40.9792,-111.8511,101.2,-44.5
40.9792,-111.8509,97.1,-44.5
40.9792,-111.8507,95.6,-44.6
40.9792,-111.8506,96.3,-44.8
40.9792,-111.8504,97.3,-45.0
40.9792,-111.8503,96.2,-45.2
40.9792,-111.8501,92.7,-44.5
40.9792,-111.8499,87.9,-43.3
40.9793,-111.8497,83.8,-42.8
40.9793,-111.8496,82.0,-42.5
40.9793,-111.8494,82.2,-42.7
40.9793,-111.8493,83.5,-42.6
40.9793,-111.8491,85.3,-43.3
40.9793,-111.849,87.5,-42.5
40.9793,-111.8488,89.6,-42.4
40.9793,-111.8486,91.7,-42.6
40.9793,-111.8484,93.7,-41.9
40.9793,-111.8483,95.1,-40.6
40.9793,-111.8481,95.9,-41.1
40.9794,-111.848,96.0,-39.3
40.9794,-111.8478,95.4,-37.8
40.9794,-111.8476,94.9,-36.1
40.9794,-111.8475,95.2,-32.2
40.9794,-111.8473,96.9,-28.6
40.9794,-111.8471,100.0,-27.7
40.9794,-111.847,103.8,-29.1
40.9794,-111.8468,107.5,-32.8
40.9794,-111.8467,110.6,-34.2
40.9794,-111.8465,112.7,-37.6
40.9794,-111.8463,114.0,-38.9
40.9794,-111.8461,114.7,-40.2
40.9795,-111.8454,113.7,-51.8
40.9795,-111.8452,111.4,-53.6
40.9795,-111.845,111.1,-54.8
40.9795,-111.8448,115.7,-54.2
40.9795,-111.8447,123.2,-53.2
40.9795,-111.8445,128.3,-52.0
40.9795,-111.8444,128.8,-50.1
40.9795,-111.8442,126.2,-47.2
40.9796,-111.844,122.9,-45.6
40.9796,-111.8438,119.6,-43.2
40.9796,-111.8437,117.0,-40.4
40.9796,-111.8435,115.2,-39.8
40.9796,-111.8434,114.6,-37.1
40.9796,-111.8432,115.5,-36.4
40.9796,-111.8431,118.6,-34.0
40.9796,-111.8429,123.6,-31.8
40.9796,-111.8427,129.4,-29.9
40.9796,-111.8425,134.0,-28.3
40.9796,-111.8424,136.2,-26.6
40.9797,-111.8422,135.6,-24.6
40.9797,-111.8421,132.9,-22.7
40.9797,-111.8419,129.5,-21.8
40.9797,-111.8417,127.0,-19.8
40.9797,-111.8415,126.1,-18.8
40.9797,-111.8414,126.2,-17.2
40.9797,-111.8412,126.1,-15.7
40.9797,-111.8411,125.4,-15.4
40.9797,-111.8409,124.3,-13.7
40.9797,-111.8408,122.7,-13.3
40.9797,-111.8406,120.6,-12.8
40.9797,-111.8404,118.5,-11.7
40.9798,-111.8402,116.5,-10.3
40.9798,-111.8401,114.6,-9.3
40.9798,-111.8399,112.7,-7.7
40.9798,-111.8398,110.6,-6.9
40.9798,-111.8396,108.0,-5.8
40.9798,-111.8395,105.2,-4.5
40.9798,-111.8393,101.9,-3.8
40.9798,-111.8391,98.6,-2.6
40.9798,-111.8389,96.0,-1.9
40.9798,-111.8388,94.1,-1.2
40.9798,-111.8386,92.7,0.3
40.9798,-111.8385,91.4,1.4
40.9799,-111.8383,90.0,1.5
40.9799,-111.8381,88.3,2.3
40.9799,-111.8379,86.3,3.5
40.9799,-111.8378,84.4,3.4
40.9799,-111.8376,83.0,4.4
40.9799,-111.8375,81.8,4.7
40.9799,-111.8373,80.9,4.7
40.9799,-111.8372,80.3,5.0
40.9799,-111.837,79.6,5.5
40.9799,-111.8368,78.2,5.7
40.9799,-111.8366,76.1,5.4
40.9799,-111.8365,74.0,4.9
40.98,-111.8363,72.5,4.8
40.98,-111.8362,71.8,4.8
40.98,-111.836,71.3,4.9
40.98,-111.8358,70.4,4.2
40.98,-111.8356,69.0,4.1
40.98,-111.8355,67.3,3.6
40.98,-111.8353,65.8,3.6
40.98,-111.8352,64.7,3.9
40.98,-111.835,64.0,3.9
40.98,-111.8349,63.5,2.6
40.98,-111.8347,63.4,2.1
40.98,-111.8345,63.7,1.1
40.9801,-111.8343,64.2,2.0
40.9801,-111.8342,64.6,2.8
40.9801,-111.834,64.8,3.3
40.9801,-111.8339,64.9,1.5
40.9801,-111.8336,64.8,1.0
40.9801,-111.8334,64.3,-0.8
40.9801,-111.8332,63.4,0.2
40.9801,-111.8329,62.6,-0.3
40.9801,-111.8327,62.5,-0.3
40.9801,-111.8326,63.3,0.2
40.9802,-111.8324,64.4,0.3
40.9802,-111.8322,65.4,-1.2
40.9802,-111.832,67.0,-2.8
40.9802,-111.8319,72.8,-1.9
40.9802,-111.8317,85.3,-2.3
40.9802,-111.8314,104.0,-11.9
40.9802,-111.8313,100.7,-10.5
40.9802,-111.8311,94.2,-8.9
40.9802,-111.8309,87.4,-7.8
40.9802,-111.8307,81.5,-6.2
40.9803,-111.8306,77.6,-5.9
40.9803,-111.8304,77.0,-3.8
40.9803,-111.8303,80.0,-3.0
40.9803,-111.8301,85.8,-1.8
40.9803,-111.8299,92.2,-1.3
40.9803,-111.8297,96.3,-1.2
40.9803,-111.8296,96.4,-0.9
40.9803,-111.8294,92.6,-1.4
40.9803,-111.8293,86.8,-1.1
40.9803,-111.8291,80.4,-0.7
40.9803,-111.829,74.5,-0.2
40.9803,-111.8284,70.1,0.6
40.9803,-111.8279,68.0,0.4
40.9803,-111.8273,67.1,0.4
40.9803,-111.8269,66.9,-0.7
40.9803,-111.8263,69.5,-1.8
40.9803,-111.8259,76.7,-2.3
40.9803,-111.8253,86.2,-2.2
40.9803,-111.8249,93.3,-1.5
40.9803,-111.8243,94.7,-1.2
40.9803,-111.8239,91.7,-1.6
40.9803,-111.8233,89.2,-3.3
40.9803,-111.8228,91.7,-3.3
40.9803,-111.8222,99.6,-2.8
40.9803,-111.8218,109.5,-1.2
40.9803,-111.8212,118.4,0.2
40.9803,-111.8208,125.7,2.6
40.9803,-111.8202,131.8,6.2
40.9803,-111.8198,135.6,8.6
40.9803,-111.8192,135.7,9.2
40.9803,-111.8188,133.1,6.9
40.9803,-111.8182,128.8,1.2
40.9803,-111.8178,124.0,-2.4
40.9802,-111.8171,120.7,-2.4
40.9802,-111.8167,122.3,-1.5
40.9802,-111.8161,129.7,-0.3
40.9802,-111.8157,140.6,1.9
40.9802,-111.8151,150.2,1.2
40.9802,-111.8147,155.2,-0.1
40.9802,-111.8141,157.3,-3.7
40.9802,-111.8137,159.8,-7.8
40.9802,-111.8131,159.7,-15.3
40.9802,-111.8127,150.4,-20.7
40.9802,-111.812,132.8,-25.6
40.9802,-111.8116,115.6,-29.1
40.9802,-111.811,105.4,-29.5
40.9802,-111.8106,101.6,-30.8
40.9802,-111.81,100.4,-31.8
40.9802,-111.8096,100.8,-29.5
40.9802,-111.809,103.0,-29.4
40.9802,-111.8086,103.9,-27.5
40.9802,-111.808,100.6,-26.8
40.9802,-111.8076,95.0,-26.2
40.9802,-111.8069,90.7,-25.7
40.9802,-111.8065,88.2,-25.4
40.9802,-111.8059,86.5,-24.7
40.9802,-111.8055,85.2,-24.4
40.9802,-111.8049,84.0,-24.0
40.9802,-111.8045,83.0,-23.2
40.9801,-111.8039,83.3,-21.8
40.9801,-111.8035,85.3,-21.2
40.9801,-111.8029,87.4,-19.3
40.9801,-111.8025,87.6,-18.8
40.9801,-111.8019,85.5,-17.0
40.9801,-111.8014,83.2,-15.6
40.9801,-111.8008,84.2,-15.0
40.9801,-111.8004,91.7,-14.5
40.9801,-111.7998,105.4,-13.8
40.9801,-111.7994,121.1,-13.0
40.9801,-111.7988,130.7,-12.1
40.9801,-111.7984,130.7,-10.2
40.9801,-111.7978,125.1,-9.1
40.9801,-111.7974,119.2,-8.8
40.9801,-111.7968,113.5,-8.4
40.9801,-111.7963,108.1,-8.4
40.9801,-111.7957,103.7,-7.1
40.9801,-111.7953,99.8,-8.2
40.9801,-111.7947,95.1,-6.5
40.9801,-111.7943,90.6,-7.1
40.9801,-111.7937,87.4,-6.7
40.9801,-111.7933,84.8,-6.2
40.9801,-111.7927,82.1,-7.1
40.9801,-111.7923,79.0,-6.1
40.9801,-111.7917,75.5,-6.5
40.9801,-111.7913,72.5,-6.8
40.98,-111.7906,70.3,-5.5
40.98,-111.7902,68.2,-6.1
40.98,-111.7896,66.2,-6.3
40.98,-111.7892,64.5,-5.1
40.98,-111.7886,63.4,-5.6
40.98,-111.7882,63.0,-5.7
40.98,-111.7876,63.7,-4.2
40.98,-111.7872,65.4,-6.5
40.98,-111.7866,67.4,-6.8
40.98,-111.7862,69.2,-7.7
40.98,-111.7855,70.7,-6.8
40.98,-111.7851,72.5,-7.3
40.98,-111.7845,74.8,-8.3
40.98,-111.7841,78.4,-8.9
40.98,-111.7835,83.1,-10.1
40.98,-111.7831,88.5,-10.9
40.98,-111.7825,93.4,-13.8
40.98,-111.7821,97.4,-13.7
40.98,-111.7815,100.8,-13.3
40.98,-111.7811,103.4,-13.8
40.98,-111.7805,103.5,-16.5
40.98,-111.78,98.2,-19.4
40.98,-111.7794,88.4,-21.4
40.98,-111.779,80.9,-21.9
40.98,-111.7784,78.3,-23.9
40.9799,-111.778,76.0,-23.3
40.9799,-111.7774,73.7,-24.8
40.9799,-111.777,76.0,-23.7
40.9799,-111.7764,82.9,-24.6
40.9799,-111.776,89.6,-22.6
40.9799,-111.7754,92.8,-22.3
40.9799,-111.7749,92.7,-22.1
40.9799,-111.7743,89.9,-21.2
40.9799,-111.7739,85.1,-19.8
40.9799,-111.7733,80.7,-19.5
40.9799,-111.7729,81.4,-18.0
40.9799,-111.7723,89.4,-17.7
40.9799,-111.7719,102.6,-17.2
40.9799,-111.7713,117.2,-14.6
40.9799,-111.7709,130.5,-12.7
40.9799,-111.7703,141.1,-10.9
40.9799,-111.7699,148.8,-7.7
40.9799,-111.7692,152.9,-5.7
40.9799,-111.7688,151.7,-3.2
40.9799,-111.7682,143.8,-0.4
40.9799,-111.7678,131.5,-0.1
40.9799,-111.7672,119.0,-0.7
40.9799,-111.7668,108.8,-0.2
40.9799,-111.7662,101.9,-5.5
40.9799,-111.7658,98.1,-5.8
40.9798,-111.7652,95.0,-8.6
40.9798,-111.7648,91.0,-11.1
40.9798,-111.7641,88.6,-11.4
40.9798,-111.7637,90.6,-12.1
40.9798,-111.7631,96.6,-15.5
40.9798,-111.7627,103.7,-15.4
40.9798,-111.7621,109.9,-17.4
40.9798,-111.7617,114.4,-16.6
40.9798,-111.7611,115.7,-16.3
40.9798,-111.7607,112.0,-15.9
40.9798,-111.7601,104.0,-15.9
40.9798,-111.7597,95.2,-16.5
40.9798,-111.759,88.5,-17.0
40.9798,-111.7586,83.9,-16.7
40.9798,-111.758,81.0,-16.7
40.9798,-111.7576,80.7,-17.1
40.9798,-111.757,85.0,-18.7
40.9798,-111.7566,93.4,-19.8
40.9798,-111.756,102.2,-20.6
40.9798,-111.7556,110.1,-21.9
40.9798,-111.755,119.4,-22.1
40.9798,-111.7546,131.9,-21.6
40.9798,-111.754,145.9,-22.5
40.9798,-111.7535,155.8,-22.5
40.9798,-111.7529,156.8,-23.5
40.9797,-111.7525,150.5,-24.6
40.9797,-111.7519,142.9,-23.9
40.9797,-111.7515,135.5,-24.8
40.9797,-111.7509,127.1,-25.4
40.9797,-111.7505,117.5,-26.3
40.9797,-111.7499,108.1,-27.5
40.9797,-111.7495,100.2,-27.3
40.9797,-111.7489,94.4,-27.5
40.9797,-111.7485,90.1,-28.2
40.9797,-111.7478,85.8,-29.1
40.9797,-111.7474,80.9,-28.7
40.9797,-111.7468,75.9,-29.4
40.9797,-111.7464,71.5,-29.8
40.9797,-111.7458,69.2,-30.2
40.9797,-111.7454,70.0,-29.9
40.9797,-111.7448,74.7,-30.6
40.9797,-111.7444,82.8,-30.4
40.9797,-111.7438,93.2,-30.4
40.9797,-111.7434,103.9,-30.8
40.9797,-111.7427,113.6,-32.0
40.9797,-111.7423,121.9,-31.7
40.9797,-111.7417,128.7,-31.1
40.9797,-111.7413,134.6,-29.4
40.9797,-111.7407,139.2,-27.6
40.9796,-111.7403,141.4,-28.0
40.9796,-111.7397,141.2,-28.6
40.9796,-111.7393,140.7,-27.9
40.9796,-111.7387,141.8,-27.1
40.9796,-111.7383,145.3,-27.7
40.9796,-111.7376,149.3,-26.7
40.9796,-111.7372,149.8,-28.5
40.9796,-111.7366,146.0,-29.5
40.9796,-111.7362,143.6,-30.2
40.9796,-111.7356,147.5,-30.7
40.9796,-111.7352,155.8,-30.7
40.9796,-111.7346,164.5,-29.8
40.9796,-111.7342,170.2,-29.9
40.9796,-111.7336,169.7,-29.2
40.9796,-111.7332,163.5,-28.7
40.9796,-111.7326,155.6,-28.2
